tis_plaza_id,plaza_name,operator_from_tis,project_type,latitude,longitude,car_single,lcv_single,bus_single,truck_3axle_single,hcm_eme_single,oversized_7plus_single
177,Pippalwada,Ms Highway and Tandon Tollways,Public Funded,19.781093,78.565772,90,150,310,340,490,595
178,Pundag,Ms Sahakar Global Ltd.,Public Funded,23.542635,85.503153,115,190,395,430,620,755
179,Sikandra,M/s Jaipur Mahua Tollway Pvt Ltd,BOT (Toll),26.944488,76.557567,70,120,240,380,380,380
180,Rajadhok,M/s Jaipur Mahua Tollway Pvt Ltd,BOT (Toll),26.859184,76.105596,65,120,235,380,380,380
181,Amoli,M/s Madhucon Agra Jaipur Expressways Ltd,BOT (Toll),27.101301,77.090874,45,80,165,265,265,265
182,Thikariya (Jaipur),M/s GVK Jaipur Expressway Pvt Ltd,BOT (Toll),26.843328,75.615578,70,120,240,390,520,390
183,Barkheda (Chandlai),M/s IRB-Jaipur Deoli Tollway Private Ltd,BOT (Toll),26.68816,75.904726,110,175,365,570,570,710
184,Sonwa (Sonva),M/s IRB-Jaipur Deoli Tollway Pvt Ltd,BOT (Toll),26.109852,75.744832,95,155,325,505,505,615
185,Lambiya Kalan,CG Tollway Pvt. Ltd.,BOT (Toll),25.5938407,74.5948394,90,150,310,340,485,590
186,Hoskote,M/s Lanco Hoskote Highway Limited,BOT (Toll),13.059436,77.770734,20,35,65,105,105,105
187,Bagepalli,Ms Sahakar Global Ltd.,Public Funded,13.793094,77.764384,110,175,370,400,575,700
188,Kirasave,M/s L&amp;T Devihalli Hassan Tollways Ltd,BOT (Toll),12.958304,76.623563,50,80,175,270,270,330
189,Shanthigrama,M/s L&amp;T Devihalli Hassan Tollway Limited,BOT (Toll),12.982709,76.228913,45,70,150,235,235,285
190,Bann,SP Jammu Udhampur Highway Limited,Public Funded,32.838919,74.940161,155,255,530,580,830,1010
191,Harsa Mansar,M/s Prakash Asphaitings &amp; Toll Highways (India) Ltd,Public Funded,32.058621,75.614278,120,190,400,435,625,765
193,Arjunali,M/s Mumbai-Nashik Expressway Ltd Mumbai,BOT (Toll),19.361481,73.165874,135,240,480,775,775,775
194,Mansar (Kamptee - Kanhan Bypass)/ Tekadi,M/s Oriental Nagpur Bye Pass Construction Pvt Ltd,BOT (Toll),21.382332,79.253327,150,235,475,725,725,935
195,Borkhedi (Nagpur ByPass),M/s Oriental Nagpur Bye Pass Construction Pvt Ltd,BOT (Toll),20.85612,78.963632,145,225,455,690,690,890
197,Laling (Dhule),M/s lrcon - Soma Tollway Pvt Ltd New Delhi,BOT (Toll),20.833054,74.754192,165,290,575,925,925,925
199,Vanana,Porbander Jetpur Tollways Pvt Ltd.,Public Funded,21.664929,69.709536,75,120,250,275,395,480
200,Ait,M/s  Prakash Asphalting &amp; Toll Highway(India)Ltd,OMT,25.879908,79.210298,115,185,385,420,605,735
201,Vighakhet,Skylark Infra Engg. Pvt. Ltd.,Public Funded,24.789564,78.448812,80,130,275,300,435,530
202,Khemana,Ms Sahakar Global Limited,Public Funded,24.241335,72.462709,70,110,235,255,370,450
203,Laxmipuram,Md Usman,BOT (Toll),18.05799,83.52111,135,215,455,495,715,870
204,Raje(Old Naraur),M/s SMS-AABS India Tollway Pvt Ltd,OMT,26.225984,86.153489,130,210,440,480,685,835
205,Chilakapalem,M/s Sahakar Global Ltd,Public Funded,18.273462,83.807965,75,120,245,270,385,470
207,Indalwai,M/s Navayuga Dichpally Tollway Pvt Ltd,BOT (Toll),18.538266,78.239734,80,130,275,435,435,530
208,Sardewadi / Indapur,M/s Pune Solapur Expressways Pvt Ltd,BOT (Toll),18.844903,73.09453,85,135,280,430,430,545
209,Itunja (Barabhari),M/s Lucknow Siatpur Expressway Limited,BOT (Toll),27.1037,80.8836,45,75,155,245,330,245
210,Ahmadpur,M/s PNC Kanpur Ayodhya Tollways Pvt Ltd.,OMT,26.858314,81.422445,110,175,365,400,570,695
211,Ronahi,M/s PNC Kanpur Ayodhya Tollways Pvt Ltd,OMT,26.763728,82.006302,115,185,385,420,600,730
212,Nawabganj,M/s PNC Kanpur Ayodhya Tollways Pvt Ltd,OMT,26.623172,80.694765,90,140,295,325,465,565
213,Shahjahanpur,M/s Pink City Expressway Pvt Ltd (PCEPL),BOT (Toll),27.99978,76.430522,140,240,485,780,780,780
214,Manoharpur,M/s Pink City Expressway Pvt Ltd (PCEPL),BOT (Toll),27.3056399,75.9535128,65,115,230,375,375,375
215,Daulatpura,M/s Pink City Expressway Pvt Ltd (PCEPL),BOT (Toll),27.0868994,75.8345568,55,100,195,315,315,315
216,Raikal,M/s Jadcherla Expressways Ltd,BOT (Toll),17.005867,78.194493,70,125,245,395,395,395
217,Shakhapur,M/s L&amp;T Western Andhra Tollways Limited,BOT (Toll),16.535645,77.944453,65,110,220,355,355,355
218,Gudur (Hyd-Yadgiri),M/s Hyderabad-Yadgiri Tollway Pvt Ltd,BOT (Toll),17.486162,78.821053,110,165,340,510,510,665
219,Pullur,M/s Sri Sai Enterprises,Public Funded,15.887742,78.016978,125,205,425,465,670,815
220,Vempadu,Anakapalli Tollways Pvt Ltd,BOT (Toll),17.397831,82.67582,130,205,435,475,680,830
222,Panthangi,M/s GMR Hyderabad Viijaywada Expressway Pvt Ltd,BOT (Toll),17.232887,78.960464,90,140,290,450,450,560
223,Paschim Madati,Ms Inderdeep Construction Co.,Public Funded,26.568967,88.275366,90,145,305,330,475,580
224,Rampura,M/s Baleshwar Kharagpur Expressway Limited,BOT (Toll),22.24076,87.39207,90,145,305,330,475,580
225,Rasoiya Dhamna,Prakash Asphaltings and Toll Highways(India) Ltd,Public Funded,24.3234,85.3881,115,190,395,430,620,755
226,Ghanghri,Ms Coral Associates,Public Funded,24.030104,85.948614,115,180,380,415,600,730
227,Keesara,M/s Swarna Tollway Pvt Ltd,BOT (Toll),16.718077,80.324314,70,120,240,510,510,510
228,Kaza,M/s Vijayawada Tollway Pvt Ltd,BOT (Toll),16.3856,80.53367,95,165,335,535,535,535
229,Budhanam,M/s Swarna Tollway Private Ltd,BOT (Toll),14.059589,79.894624,50,85,170,370,370,370
230,Marur,Ms Sri Sai Enterprises,Public Funded,14.499817,77.631127,130,210,435,475,685,835
231,Debra,M/s Ashoka Dhankuni Kharagpur Tollway Ltd,BOT (Toll),22.397144,87.522855,70,115,245,385,385,465
232,Sonapetya,M/s Sahakar Global Ltd,Public Funded,22.335479,87.869477,100,165,345,375,535,655
233,Karapadu (Old Bellupada),M/S Eagle Infra India Ltd,BOT (Toll),19.111282,84.699281,105,170,355,390,560,680
235,Madapam,Sri Sai Enterprises,Public Funded,18.377344,84.000528,45,75,160,175,250,300
236,Aganampudi,Arvind Chandrasekaran,Public Funded,17.685435,83.149931,60,95,205,220,320,390
237,Balgudar,Sh. Rajendra Singh,Public Funded,25.250014,86.034744,55,90,185,200,290,355
238,Saukala,Rajendra Singh,Public Funded,24.599579,84.70284,100,160,340,370,530,645
239,Ponnambalapatti,Mahender Godara,BOT (Toll),10.536361,78.257067,100,175,355,565,565,565
240,Main Toll (Panchvati colony) (Sheela Nagar),Ms Sri Sai Enterprises,Public Funded,17.713856,83.212186,45,78,156,254,254,313
242,Kasaba (Bijapur),M/s Bijapur Hungund Toll Way Pvt Ltd,BOT (Toll),16.786741,75.739648,65,105,225,350,350,430
243,Venkatachalam (Old Nellore),M/s SWARNA TOLLWAY PRIVATE LIMITED,BOT (Toll),14.312218,79.916296,35,65,125,270,270,270
244,Undavariya/ Sirohi,Ms Ashirwad Smart Infralink Pvt. Ltd.,Public Funded,24.633512,72.907078,45,70,150,165,235,285
245,Indore Dewas (Indore side),M/s Indore Dewas Tollways Limited,BOT (Toll),22.959586,76.084165,20,30,60,95,95,120
246,Nathavalasa/ Vizianagaram,Feedback Highways OMT Pvt. Ltd.,Public Funded,18.057967,83.521081,70,115,240,260,375,455
247,Pottipadu,Ms Sri Sai Enterprises,Public Funded,16.572341,80.862502,60,95,200,220,315,385
248,Kalaparru,V. Vidyasagar Reddy,Public Funded,16.676408,81.022129,50,80,170,185,265,320
250,Sullurpet,M/s SWARNA TOLLWAY PRIVATE LIMITED,BOT (Toll),13.744936,79.990993,70,125,255,540,540,540
251,Sunambatti (Musunuru),M/s Simhapuri Expressway Ltd,BOT (Toll),14.851896,79.987757,60,95,200,315,315,380
252,Bolapalli,M/s Simhapuri Expressway Ltd,BOT (Toll),15.886754,80.070843,165,255,525,805,805,1025
253,Tanguturu,M/s Simhapuri Expressway Ltd,BOT (Toll),15.358166,80.040105,95,150,320,500,500,605
255,Kasepalli,Ms Skylark Infra Engineering Pvt. Ltd.,Public Funded,15.061783,77.630325,115,190,395,430,620,755
258,Amakathadu,Sri Sai Enterprises,Public Funded,15.48468,77.897632,125,200,425,460,665,810
259,Bhalgam (Belgaum),Ms Highways and Tandon Tollways,OMT,23.912341,71.783991,85,140,295,320,460,560
260,Laxmannath,M/s Baleshwar Kharagpur Expressway Limited,BOT (Toll),13.1955,77.652944,75,120,245,270,385,470
261,Varwade,M/s Pune Sholapur Road Development Company Ltd,BOT (Toll),17.957588,75.331066,70,110,235,255,365,445
262,Gwalior Bypass (Mehra),M/s Agra-Gwalior Pathways Pvt Ltd,OMT,26.197589,78.240691,90,145,305,335,480,585
263,Surajbari,MS Riddhi Siddhi Associates,Public Funded,23.233738,70.689457,85,140,295,320,460,560
264,Sawaleshwar,M/s  Pune Sholapur Road Development Company Ltd,BOT (Toll),17.764629,75.75589,70,110,235,255,365,445
265,Chitora,M/s DPJ-DRA Tollways Pvt Ltd,OMT,23.725268,78.809133,135,215,455,495,715,865
266,Bakori,M/s DPJ-DRA Tollways Pvt Ltd,OMT,23.780036,79.464288,135,215,450,490,705,860
267,Guilalu,M/s IRB Tumkur Chitradurga Tollway Pvt Ltd,BOT (Toll),14.053778,76.560573,80,125,265,410,410,500
269,Karjeevanhalli,M/s IRB Tumkur Chitradurga Tollway Pvt Ltd,BOT (Toll),13.612918,76.953866,80,125,265,410,410,500
270,Navayuga Devanahalli / Sadahalli / Pujanahalli,M/s Navayuga Devanahalli Tollway Pvt Ltd,BOT (Toll),13.19355,77.649812,105,165,330,500,500,650
271,Kaythsandra/Tumkur/Chokkanahalli,M/s  JASS Toll Road Co. Ltd,BOT (Toll),13.302065,77.161956,35,65,130,,,
272,Kherki Daula,M/s Millennium City Expressways Private Ltd,BOT (Toll),28.395604,76.98176,80,115,235,235,235,235
273,Palsit,Ms Kalyan Toll Infrastructure Ltd.,Public Funded,23.178722,88.026395,100,160,335,365,520,635
275,Badauri,Ms Ayushajay Construction Pvt. Ltd.,Public Funded,26.126972,80.585425,70,115,240,260,375,460
278,Nivedita Setu,M/s Second Vivekananda Bridge Tollway Co. Pvt Ltd,BOT (Toll),22.654373,88.325118,,,,,,
279,Dankuni,Eagle Infra India Ltd,Public Funded,22.698891,88.288862,75,120,250,270,390,475
280,Jaladhulagori (Dhulagarh),M/s Ashoka Dhankuni kharagpur Tollway Pvt Ltd,BOT (Toll),22.57319,88.181739,120,190,395,610,610,770
281,Surjapur,Skylark Infra Engg. Pvt. Ltd.,Public Funded,25.933485,87.843205,85,140,295,320,460,560
282,Beliyad,M/s Barwa Adda Expressway Ltd - BOT (Toll) concessionaire,BOT (Toll),23.763627,86.79803,90,145,310,335,480,585
283,Hariabara,M/s SMS-AABS India Tollway Pvt Ltd,OMT,26.152636,87.445216,130,205,430,470,675,825
284,Barsoni,Shiva Corporation India Ltd,Public Funded,25.804671,87.59074,65,105,220,240,345,425
285,Kharik,Rajendra Singh,Public Funded,25.385796,87.01154,55,90,195,210,305,370
286,Maranga,Ms R K Transport Pvt. Ltd.,Public Funded,25.728646,87.458249,65,110,230,250,355,435
287,Boriach,M/s IRB Surat Dahisar Tollways Pvt Ltd,BOT (Toll),20.885548,73.052162,65,110,225,360,360,360
288,Bhagwada,M/s IRB Surat Dahisar Tollways Pvt Ltd,BOT (Toll),20.43495,72.917204,75,125,255,410,410,410
289,Charoti,M/s IRB Surat Dahisar Tollways Pvt Ltd,BOT (Toll),19.890544,72.942644,65,115,230,375,375,375
290,Khaniwade,Ms Sri Sai Enterprises,BOT (Toll),19.520454,72.916883,75,125,255,410,410,410
291,Dahar,M/s Concessionaire Rohtak-Panipat Tollway Pvt Ltd,BOT (Toll),29.31922,76.918442,100,160,320,490,490,630
292,Makrauli Kalan,Ms Inderdeep Construction Co.,BOT (Toll),28.944307,76.609736,155,240,480,725,725,955
294,Asanpur,M/s SMS-AABS India Tollway Pvt Ltd,OMT,26.299831,86.630217,100,160,335,365,520,635
295,Hebbalu,Ms Sri Sai Enterprises,Public Funded,14.375564,76.106875,60,95,195,215,310,375
296,Chennasamudram,Ms Sri Sai Enterprises,Public Funded,12.910943,79.40121,45,70,145,160,230,280
298,Songir,M/s Dhule Palesner Tollway Ltd  Mumbai,BOT (Toll),21.050995,74.785116,75,120,250,380,380,480
299,IGI Airport,M/s Millennium City Expressways Private Ltd,BOT (Toll),28.543853,77.115435,25,35,70,70,70,70
300,Shahapur,M/s  GMR OSE HungundHospet HighwaysPvt Ltd,BOT (Toll),15.357898,76.312781,60,95,200,310,310,380
301,Vanagari,M/s GMR OSE Hungund Hospet Highways Pvt Ltd,BOT (Toll),16.290681,75.923324,60,95,200,310,310,380
302,BharthanKarjan,Ms Ayushajay Construction Pvt. Ltd.,BOT (Toll),22.015027,73.115049,105,180,360,580,580,580
303,Deingpasoh,Anil Kumar Shukla,Public Funded,25.648846,92.047612,60,95,200,220,315,380
304,Thirupparaithurai,"M/s.TK Toll Road Pvt., Ltd.,",BOT (Toll),10.885791,78.557668,25,45,90,145,145,145
305,Manavasi,"M/s TK Toll Road Pvt, Ltd,",BOT (Toll),10.930934,78.215268,45,85,165,265,265,265
306,Lechchumanapatti,Md. Yousuf Ali,Public Funded,10.624244,78.747767,45,75,150,165,240,290
308,Vantada,Anil Kumar Shukla,Public Funded,23.61615,73.254472,35,60,120,135,190,235
309,Kathpur,Ms Feedback Highways OMT Pvt. Ltd.,Public Funded,23.410181,72.828618,70,110,235,255,365,445
310,Lambalakudi,Anil Kumar Shukla,Public Funded,10.299776,78.770713,40,60,130,140,205,250
311,Ahmedabad,M/s Ahmedabad Vadodara Super Express Tollway Pvt Ltd,BOT (Toll),22.975844,72.650399,125,205,430,470,675,820
312,Attibele (BETL),M/s Bangalore Elevated Tollway Private  Limited,BOT (Toll),12.776883,77.777119,30,50,105,,220,
313,Neelamangala  - Tumkur /Kulumepalya,M/s  JASS Toll Road Co. Ltd,BOT (Toll),13.114638,77.37463,35,65,130,,,
314,Elevated Section/ Electronic City,M/s Bangalore Elevated Tollway Private  Limited,BOT (Toll),12.847667,77.670866,50,75,145,,295,
315,Nagarhalla,M/s Bijapur Hungund Toll Way Pvt Ltd (BHTPL),BOT (Toll),16.292989,75.921069,105,165,340,525,525,665
316,Gabbur (MoRTH),MORTH,BOT,15.318834,75.139696,45,113,151,178,,
321,Narendra (MoRTH),"M/s. Nandi Highway Developers Ltd, Bangalore (SPV)",BOT,15.488902,74.969857,45,113,151,195,,
324,Pamban Bridge (MoRTH),"Thiru. Arjuna, Raneswaram",Bridges,9.283225,79.215127,9,14,31,31,41,
326,Kalia Bhomora Bridge (MoRTH),Abdul Khalique Bepari,Bridges,26.567367,92.869461,26,39,78,86,116,156
330,Gangadhar Bridge (MoRTH),MORTH,Bridges,26.149881,89.811537,7,9,19,24,27,34
333,Baggad (MoRTH),MS AV Enterprises,0,25.592575,73.904897,40,70,145,225,225,275
338,Bagaliya (MoRTH),MS AV Enterprises,OMT,25.884014,74.160275,40,65,140,215,215,265
339,Bagodara (MoRTH),MORTH,BOT,22.620565,72.161496,20,37.5,75,75,84,84
340,Kharpada (MoRTH),M/S Ideal road Builders Limited,Bridges,18.844713,73.094525,10,30,30,50,,
341,Jia Bridge (MoRTH),MORTH,BOT,31.898237,77.148301,10,20,35,35,50,70
342,Savitri (MoRTH),MORTH,Bridges,18.084885,73.462503,5,5,15,20,,
344,Fekri (MoRTH),M/s ADCC-VHCPL-SCPLJV Nagpur,BOT,21.039996,75.829168,10,10,35,45,,
345,Kharegaon (MoRTH),M/s I.R.B.Pvt.Ltd. Mumbai,BOT,19.2121,73.006946,29,51,103,220,,
346,Moshi (MoRTH),MORTH,0,18.605613,73.823404,25,43,85,182,,
347,Parvati Bridge (MoRTH),eepwdnhbpl@gmail.com,Bridges,23.471246,77.071876,5,5,15,15,15,20
348,Chandloi/ Rajgurunagar (MoRTH),S.G. Inamdar,BOT,18.844296,73.881986,25,43,85,182,,
349,Ashoka DSC Katni bypass (MoRTH),Ganesh Vikhe,BOT,23.888883,80.384806,20,60,215,215,300,
350,Kawdipath (MoRTH),Inamdar S.G.,BOT,18.493223,73.992593,25,25,60,60,,
351,Kasurdi (MoRTH),Inamdar S.G.,BOT,18.48286,74.234706,25,25,60,60,,
352,Koshta (MoRTH),Ajay Pratap Singh,BOT,24.550197,81.346796,40,21,113,113,113,194
353,Kardha (MoRTH),Mr. Abhijeet Ashoka Infrastructure Pvt. Ltd. Nagpur,Bridges,21.139568,79.675405,21,21,106,169,,
354,Tiwasa (MoRTH),M/s V.H.P.L.-A.D.C.C.Pinglai Infrastructure  Pvt.Lt. Nagpur,Bridges,21.086207,78.066995,10,10,35,35,,
357,Nardana (MoRTH),MORTH,BOT,21.181762,74.823119,8,8,25,30,,
358,Baretha (MoRTH),M.P. Highways Pvt. Ltd.,0,26.320743,78.272518,70,115,245,265,385,470
359,Wadakbal (MoRTH),"M/s Patil& Co, Solapur",Bridges,17.534301,75.880075,5,10,15,15,,
360,Barahi (MoRTH),M.P. Highways Pvt. Ltd.,BOT,26.683159,78.917937,30,45,100,155,155,190
362,Bamanbore (MoRTH),"R & B Dept, Gujarat Govt.",BOT,22.409684,71.015587,20,37.5,75,84,,
363,Patancheru (Prograssive Construction Toll) (MoRTH),MORTH,BOT,17.523428,78.273342,22,44,81,176,,
364,Rawason Bridge (MoRTH),MORTH,Bridges,29.842349,78.19098,5,10,15,15,,
366,Nandghat Bridge (MoRTH),Bridge Constructed By M/s Gordhands Bobindram Contractor the toll being collected throung state PWD,Bridges,21.766145,81.812198,10,15,25,,,
367,Kharun (MoRTH),M/s DSCVentures Pvt. Ltd. New Delhi,BOT,21.252543,81.536664,24,40,81,177,,
368,Kosa Nala (MoRTH),M/s DSCVentures Pvt. Ltd. New Delhi,BOT,21.204731,81.337106,24,40,81,177,,
370,Kundannur (MoRTH),MORTH,Public Funded,9.94307,76.318202,5,5,15,20,,
371,Akkulam (MoRTH),PWD NH Wing,Public Funded,8.520122,76.89465,5,10,20,25,40,
373,Varapuzha Bridge (MoRTH),"Departmental Toll Collection, Asst. Exec. Engineer",Bridges,10.074058,76.28012,5,15,20,,,
374,Bhatwada (Godhra),M/s BSCPL Godhra Tollways Limited,BOT (Toll),22.792886,73.842871,165,260,535,830,830,1040
375,Chollang,Rakesh Kumar Chaudhary,Public Funded,31.623756,75.640462,100,160,335,365,525,640
376,Chillakallu,M/s GMR Hyderabad Viijaywada Expressway Pvt Ltd,BOT (Toll),16.885015,80.160654,100,160,330,505,505,635
377,Korlaphadu,M/s GMR Hyderabad Viijaywada Expressway Pvt Ltd,BOT (Toll),17.159677,79.474848,120,190,395,615,615,765
379,Hitnal,M/s GMR OSE Hungund Hospet Highways Pvt Ltd,BOT (Toll),15.323649,76.303646,45,70,145,220,220,290
380,Madrak,M/s Brij Bhoomi Expressway Pvt Ltd,BOT (Toll),27.804002,78.087022,35,55,110,175,175,210
381,Baros,M/s Brij Bhoomi Expressway Pvt Ltd,BOT (Toll),27.346247,78.032201,35,55,110,175,175,210
384,Khairabad (Karondi),M/s Lucknow Siatpur Expressway Limited,BOT (Toll),27.50378,80.75254,45,75,155,245,330,245
385,Pithai,Ms Coral Associates,BOT (Toll),22.913088,72.957401,115,185,380,585,585,735
386,Vavadikhurd,Ms Riddhi Siddhi Associates,BOT (Toll),22.792571,73.533274,130,200,410,620,620,800
387,Mulbagal,M/s Lanco Hoskote Highway Limited,BOT (Toll),13.148469,78.290548,75,130,255,415,415,415
388,Kishorpur (Chandermore),M/s Baharampore Farakka Highways Ltd,BOT (Toll),24.563182,88.019993,70,110,230,360,360,440
389,Gopgram (Shibpur),M/s Baharampore Farakka Highways Ltd,BOT (Toll),24.150449,88.18629,55,85,185,285,285,350
394,Babina,Ms Skylark Infra Engineering Pvt. Ltd.,Public Funded,25.216966,78.464471,110,180,375,410,590,720
395,Dahalapara,M B Consortium,Public Funded,26.476288,90.712054,85,135,285,310,445,545
